Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
5,164.612,172.51,204.318,180.401,87.663,188.465,213.061,163.106,129.159,202.26,35.665,122.41,210.823,149.174,75.238,145.088,206.27,180.924,24.811,137.349
5,175.693,178.402,207.44,187.119,97.579,189.568,213.477,166.935,129.369,203.351,32.897,121.867,211.472,150.345,76.691,146.172,206.918,181.08,25.304,137.769
5,173.012,175.895,204.619,184.472,88.786,182.665,204.83,158.77,127.212,202.307,31.532,120.402,212.183,149.92,76.395,146.183,210.153,183.625,26.624,140.121
5,174.781,178.649,209.464,187.442,89.118,182.19,204.725,158.716,130.534,204.644,32.65,122.612,214.617,152.2,77.681,148.182,213.374,187.472,27.694,142.821
5,177.373,179.821,208.336,188.524,99.515,182.717,202.737,161.659,131.865,207.54,32.426,123.966,212.779,150.255,75.592,146.223,201.592,175.454,23.251,133.459
5,176.403,178.807,207.082,187.463,79.229,178.917,203.14,153.781,131.632,209.704,32.586,124.725,219.166,157.247,79.38,151.936,211.876,185.094,27.358,141.434
5,175.257,177.533,206.36,186.387,78.287,180.594,204.978,154.611,126.486,203.066,32.419,120.762,215.53,153.723,77.029,148.784,205.216,178.483,24.436,136.049
5,176.275,178.95,207.49,187.57,77.432,179.008,203.792,153.397,127.08,203.352,32.321,121.009,210.759,148.943,74.576,144.769,207.396,181.383,25.353,138.039
5,178.061,179.749,208.82,188.934,95.904,180.518,201.469,159.33,131.158,206.887,32.415,123.509,211.63,149.154,71.573,144.166,209.709,183.958,26.294,139.971
5,182.842,185.554,214.217,194.219,75.9,168.9,193.208,146.05,134.541,212.684,33.225,126.869,212.705,150.281,71.828,144.969,205.307,178.885,24.867,136.365
5,176.759,179.393,207.796,188.013,79.722,177.732,202.215,153.223,127.687,200.573,35.083,121.194,213.94,151.074,72.436,145.848,208.065,181.931,25.819,138.605
5,186.083,188.731,217.977,197.558,86.209,181.493,204.709,157.498,128.363,202.69,32.339,121.142,211.763,149.427,71.521,144.291,212.355,186.383,27.117,141.918
5,179.914,182.154,211.867,191.291,84.384,178.316,201.236,154.676,127.078,199.775,35.838,120.994,211.573,149.959,72.005,144.577,198.804,172.461,22.183,131.179
5,178.321,180.993,210.926,189.957,91.405,191.546,214.248,165.728,131.587,204.778,35.418,123.933,211.272,148.872,71.181,143.817,204.392,177.683,24.563,135.556
5,182.534,185.441,214.573,194.127,84.5,187.088,210.605,160.752,130.293,207.451,33.15,123.712,211.702,150.312,71.918,144.71,214.115,188.036,28.05,143.376
5,178.642,181.966,211.585,190.547,79.575,183.094,208.124,156.915,128.668,201.9,35.776,122.162,216.419,153.799,78.384,149.545,198.479,173.354,21.814,131.259
5,182.769,185.535,214.652,194.285,85.926,176.444,198.319,153.581,129.108,200.731,36.001,122.011,211.252,149.663,71.444,144.166,214.93,188.75,28.25,143.943
5,182.148,183.935,212.986,193.104,83.293,182.757,206.323,157.48,134.239,210.495,33.984,126.272,204.468,144.356,70.832,139.907,209.739,183.547,26.39,139.882
5,184.11,186.717,216.247,195.617,82.653,181.474,205.14,156.445,134.881,208.432,35.118,126.144,210.673,149.045,71.26,143.72,213.788,187.443,27.887,143.016
5,179.664,182.193,211.218,190.994,81.743,181.276,204.819,155.972,126.097,200.162,35.313,120.615,205.288,144.511,70.793,140.205,213.74,187.807,27.738,143.059
5,181.587,185.267,214.655,193.642,91.367,196.104,219.211,168.902,128.179,205.121,33.493,122.361,217.947,155.388,80.664,151.345,218.319,192.869,29.506,146.847
5,179.229,182.37,211.883,191.009,78.949,179.072,203.344,153.802,127.553,203.123,31.628,120.83,209.711,147.397,70.903,142.712,206.997,180.825,25.282,137.701
5,181.436,185.111,214.398,193.489,87.118,180.316,202.492,156.649,133.288,206.099,36.926,125.419,215.003,152.457,78.019,148.505,205.211,178.656,24.925,136.275
5,181.021,183.265,212.307,192.215,89.568,191.112,213.647,164.759,137.673,212.332,35.629,128.541,208.228,146.886,72.431,142.552,214.439,188.056,28.051,143.481
5,175.796,177.681,206.319,186.679,78.533,168.095,190.995,145.947,129.837,204.426,34.122,122.792,207.733,146.424,72.084,142.099,210.06,183.398,26.406,139.942
5,177.951,181.369,211.661,190.097,100.093,186.675,207.46,164.772,133.443,207.126,35.281,125.271,215.708,153.481,77.957,149.055,204.746,178.329,24.331,135.815
5,177.715,181.782,213.043,190.652,86.114,186.3,209.303,160.581,131.037,203.378,35.982,123.508,219.798,157.436,79.971,152.407,205.634,178.831,24.172,136.22
5,182.599,184.802,214.067,193.851,88.814,187.384,209.706,161.943,132.311,207.196,34,124.515,204.529,144.398,70.268,139.732,212.334,186.255,27.5,142.007
5,182.109,184.011,213.186,193.156,78.917,181.531,206.57,155.677,131.343,206.263,33.992,123.907,205.999,145.573,71.564,141.06,202.957,177.068,23.923,134.68
5,181.355,184.111,213.781,192.973,81.007,176.994,200.397,152.815,120.353,196.513,30.126,115.716,204.932,144.632,70.388,140.013,206.469,180.164,24.951,137.193
5,181.134,184.189,213.354,192.793,105.957,186.024,206.345,166.094,125.873,200.775,31.027,119.273,209.234,147.031,73.936,143.376,225.023,198.902,31.904,151.917
5,176.442,178.42,207,187.328,77.996,179.857,205.099,154.304,126.295,202.896,32.151,120.538,209.572,148.902,72.863,143.815,214.368,188.202,28.095,143.532
5,173.497,175.614,204.087,184.471,106.455,188.786,209.604,168.316,126.39,201.471,32.537,120.194,194.758,137.581,64.136,132.156,216.237,189.879,28.814,144.935
5,169.818,172.749,202.567,181.556,103.107,186.883,205.467,165.12,128.487,202.758,33.058,121.473,202.328,143.08,68.522,138.025,204.628,178.43,24.532,135.871
