Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
10,193.978,190.15,185.895,189.859,75.636,173.171,195.248,147.96,136.057,201.411,7.946,115.133,214.287,138.905,51.947,135.125,217.283,174.317,29.873,140.462
10,189.713,186.982,183.963,186.844,74.642,172.549,194.813,147.309,131.47,194.667,8.048,111.401,218.254,142.216,53.907,138.187,212.845,170.328,28.386,137.092
10,189.71,186.516,183.122,186.372,75.582,173.421,195.443,148.13,129.923,191.819,7.813,109.883,217.783,141.815,53.629,137.78,217.001,172.961,29.844,139.864
10,188.484,185.512,182.097,185.276,74.98,173.322,195.529,147.923,120.873,180.42,6.816,102.656,213.999,138.621,52.109,134.987,218.366,174.893,30.525,141.201
10,189.045,186.102,183.462,186.191,73.539,171.095,193.048,145.884,120.604,179.907,7.035,102.472,217.308,141.456,53.44,137.521,217.853,174.417,30.19,140.762
10,192.365,188.691,185.25,188.665,73.967,171.238,193.375,146.194,121.053,181.453,6.029,102.793,216.961,141.194,52.612,137.022,216.461,173.41,29.651,139.802
10,188.099,186.021,182.858,185.641,79.869,179.736,201.821,153.742,121.53,182.185,6.849,103.471,218.458,142.14,53.556,138.126,214.763,172.019,29.267,138.61
10,193.752,191.372,189.605,191.601,74.567,173.82,196.566,148.362,121.515,182.406,7.103,103.623,218.899,142.665,54.399,138.703,218.289,174.8,30.547,141.159
10,186.359,183.787,181.12,183.703,77.36,176.931,198.911,151.037,121.938,182.64,6.188,103.53,218.351,142.136,53.49,138.051,218.221,174.899,30.491,141.153
10,198.473,196.664,197.669,197.712,76.456,177.556,199.946,151.302,120.511,180.197,6.757,102.436,218.663,142.678,54.2,138.563,219.655,176.633,30.795,142.315
10,182.558,179.591,177.394,179.837,74.352,173.708,196.282,148.129,122.54,182.793,6.328,103.849,217.08,141.714,53.419,137.496,218.827,175.457,30.455,141.53
10,183.827,181.282,178.912,181.336,73.767,173.559,196.592,147.991,131.672,194.827,6.28,110.95,217.645,141.866,53.627,137.779,220.277,177.309,31.224,142.902
10,187.985,185.8,184.999,186.266,73.797,172.933,195.414,147.396,123.96,185.107,5.743,104.935,217.614,141.528,53.614,137.632,219.541,177.041,30.755,142.418
10,171.365,169.941,167.768,169.667,84.187,187.876,210.661,160.924,123.275,184.263,6.838,104.751,217.796,142.019,54.059,138.024,218.659,176.521,30.437,141.844
