Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
1,138.101,177.428,154.574,156.73,178.127,87.509,104.783,123.654,136.862,118.046,69.953,108.461,162.799,95.438,69.593,109.321,154.711,134.132,77.117,122.08
1,134.199,169.569,146.817,150.192,171.742,83.796,100.868,119.039,168.032,148.524,95.434,137.37,164.788,95.765,71.213,110.661,161.425,139.379,76.93,125.92
1,131.256,170.833,152.166,151.471,165.748,80.253,99.004,115.131,161.936,141.827,89.381,131.029,160.353,92.074,71.105,107.902,145.713,124.069,71.337,113.608
1,133.115,172.504,149.52,151.81,167.368,82.413,99.969,116.538,167.097,146.324,94.54,135.989,156.301,90.672,70.367,105.916,142.853,122.062,67.318,110.758
1,123.446,163.96,148.174,145.266,171.477,84.141,101.242,118.967,155.305,134.959,86.714,125.659,161.773,93.786,69.898,108.604,145.265,124.419,70.127,113.27
1,108.041,159.227,151.523,139.499,162.019,76.358,97.379,111.708,155.477,135.43,84.76,125.052,168.403,98.782,72.136,113.183,160.566,139.028,76.2,125.331
1,108.128,158.779,150.296,139.078,172.383,83.848,99.212,118.461,156.567,135.72,87.262,126.443,156.549,90.373,68.697,105.275,170.31,149.167,78.734,132.768
1,105.956,158.205,152.419,138.761,175.929,85.991,102.808,121.811,157.43,136.776,85.283,126.643,162.581,94.538,70.478,109.303,155.532,134.344,72.929,120.933
1,111.644,163.513,154.991,143.368,182.566,88.187,105.695,125.393,156.698,136.167,83.002,125.353,163.866,94.615,70.199,109.629,159.413,138.198,73.606,123.765
1,109.8,159.158,148.11,139.01,179.969,86.116,104.125,123.269,158.779,139.847,87.325,128.522,164.715,95.605,71.31,110.624,158.699,137.585,72.347,122.851
2,126.844,169.031,195.537,163.705,180.419,91.126,118.48,130.046,173.004,152.671,119.852,148.719,176.293,102.579,94.226,124.369,167.803,144.258,104.357,138.707
2,126.844,169.031,195.537,163.705,183.869,92.071,121.845,132.803,171.641,150.436,117.163,146.539,175.345,102.189,92.664,123.318,169.548,145.577,102.818,139.236
2,130.101,169.218,194.353,164.488,190.802,97.165,127.62,138.592,171.8,151.185,118.062,147.186,185.888,109.252,99.672,131.681,187.882,162.154,113.366,154.45
2,126.727,168.321,196.272,163.691,183.495,93.174,122.022,133.006,176.745,156.405,122.709,152.126,182.733,106.937,97.273,129.018,164.641,142.931,99.24,135.736
2,126.629,166.962,193.785,162.379,178.195,90.007,117.174,128.625,173.074,151.305,118.078,147.545,185.882,108.919,98.578,131.15,161.562,139.47,99.163,133.324
2,122.338,156.865,185.715,154.953,189.476,96.751,126.859,137.929,172.271,150.815,117.937,147.119,184.11,107.936,97.68,129.967,163.788,142.399,101.831,136.003
2,129.163,172.346,198.349,166.59,187.032,94.249,123.893,135.268,174.029,151.29,118.366,147.841,182.815,106.773,96.894,128.928,158.889,137.399,97.642,131.224
2,131.611,171.369,193.743,165.573,191.377,97.856,127.241,138.903,175.712,153.914,120.383,149.947,185.579,108.516,97.902,130.667,163.373,141.571,98.818,134.686
2,126.601,165.979,190.245,160.851,192.928,98.72,128.198,140.099,179.676,159.064,123.597,154.054,187.195,109.457,98.346,131.649,170.531,147.633,104.422,141.006
2,127.085,160.533,183.385,157.014,192.191,97.854,128.383,139.496,176.344,154.976,121.329,150.951,182.452,106.698,95.552,128.174,173.044,150.782,104.419,142.864
3,74.614,112.429,144.86,110.624,155.969,74.406,100.304,110.442,143.799,122.102,93.241,119.634,141.691,78.419,73.372,97.625,124.643,103.443,71.964,99.957
3,85.98,125.208,156.79,122.6,166.285,80.56,108.267,118.481,133.559,112.167,84.396,110.005,136.548,74.328,69.86,93.498,122.632,101.263,70.864,98.066
3,84.513,117.573,145.023,115.741,164.936,79.315,106.833,117.064,148.327,124.026,95.357,122.779,135.379,74.217,69.601,93.083,123.638,102.983,70.98,99.177
3,91.478,128.319,160.996,126.893,160.733,75.695,104.699,113.795,145.825,122.277,93.282,120.603,136.564,75.593,68.742,93.696,125.487,103.98,72.123,100.553
3,94.379,125.721,149.642,123.389,152.195,71.746,99.652,107.973,155.617,131.051,100.72,129.245,140.062,77.335,72.217,96.45,133.409,111.111,76.172,106.902
3,92.578,125.82,152.576,123.628,156.613,73.479,102.237,110.667,150.156,126.407,96.893,124.578,138.122,75.735,70.188,94.721,122.628,101.183,70.264,97.881
3,97.78,130.598,154.612,127.785,168.986,81.992,110.734,120.445,142.36,120.892,92.616,118.52,139.459,76.911,72.277,96.019,122.929,102.527,69.142,98.174
