Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
9,163.438,204.058,189.685,185.773,223.087,124.639,98.996,148.78,181.768,149.374,85.539,138.798,205.948,110.652,73.384,130.036,197.837,163.476,86.301,149.162
9,162.604,202.626,198.032,187.745,223.001,122.825,99.174,148.281,179.976,148.384,86.389,138.25,245.228,135.311,105.876,162.177,198.457,165.063,89.442,150.92
9,154.209,190.676,193.179,179.391,235.936,143.772,112.449,163.979,182.632,151.632,88.839,140.974,227.535,114.066,86.332,142.714,195.246,161.719,88.524,148.506
9,162.791,194.003,195.147,183.941,233.443,136.571,109.777,159.852,184.748,153.507,89.237,142.408,223.73,112.101,85.298,140.413,208.173,174.127,95.156,159.159
9,159.885,192.659,196.843,183.075,220.989,121.238,99.229,147.087,178.837,148.98,87.981,138.53,220.788,110.252,82.674,137.93,209.043,174.475,96.847,160.134
9,155.644,191.964,198.896,182.15,228.198,126.922,104.083,153.177,208.497,184.361,109.528,167.491,227.198,117.445,86.592,143.752,197.618,163.782,90.442,150.644
9,160.668,196.152,202.435,186.405,225.461,124.758,101.926,150.626,181.765,150.884,88.235,140.222,220.063,112.533,83.695,138.763,195.098,161.192,91.541,149.336
9,156.97,194.715,203.455,185.082,224.115,124.575,103.068,150.642,184.805,153.934,89.794,142.805,226.31,113.671,86.563,142.219,196.907,162.529,92.803,150.784
9,155.791,191.249,202.64,183.382,222.509,122.368,99.359,147.945,191.792,160.68,93.628,148.663,225.536,115.069,86.292,142.345,197.86,163.896,94.003,151.982
9,155.601,190.771,206.234,184.226,229.744,128.541,104.565,154.271,173.763,144.436,84.846,134.229,219.519,114.256,83.923,139.3,197.193,162.979,93.393,151.097
8,131.321,168.976,195.429,165.251,216.085,116.233,109.121,147.126,167.99,134.625,92.313,131.675,194.579,102.68,78.545,125.286,188.308,154.631,96.92,146.533
