Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
5,160.562,159.744,157.619,159.349,72.936,150.331,170.534,131.206,59.531,173.132,160.139,131.023,202.519,136.278,53.124,130.579,177.943,169.656,34.452,127.364
5,159.54,159.998,156.389,158.643,72.177,151.635,171.54,131.737,58.871,170.654,157.504,129.071,201.508,134.903,52.815,129.654,177.744,169.599,34.701,127.358
5,170.201,168.622,167.801,168.906,73.662,154.935,175.29,134.627,59.128,168.866,155.506,127.952,199.211,133.132,51.186,127.729,178.341,171.387,38.649,129.436
5,169.2,167.772,166.358,167.826,66.784,147.2,168.957,127.703,59.677,171.35,158.491,129.913,200.086,133.713,51.483,128.303,179.113,171.505,39.122,129.874
5,158.395,157.454,155.694,157.223,69.741,145.784,165.862,127.075,58.848,171.337,158.253,129.569,202.197,136.046,54.141,130.723,178.227,169.743,34.326,127.46
5,161.487,159.79,159.102,160.237,65.898,146.165,167.677,126.628,58.848,171.337,158.253,129.569,195.233,129.084,49.443,124.546,183.623,174.788,40.121,132.841
5,167.627,166.54,164.743,166.348,65.279,145.578,166.607,125.822,58.898,171.049,157.412,129.237,197.34,130.907,50.99,126.354,186.126,176.715,39.547,134.16
5,166.729,165.381,163.737,165.324,71.138,150.486,171.377,130.948,59.24,173.248,158.987,130.563,201.884,134.915,51.197,129.228,181.323,173.414,37.174,130.669
5,166.942,165.737,163.273,165.348,65.184,145.455,166.619,125.8,61.853,182.453,169.951,138.145,197.433,131.906,50.623,126.565,185.828,177.113,37.738,133.594
5,167.249,166.408,162.793,165.509,67.654,147.219,168.86,127.957,64.352,175.606,161.987,134.055,199.793,133.965,53.323,128.96,188.529,179.666,39.103,135.793
6,163.986,163.635,159.234,162.363,76.517,161.537,177.665,138.561,60.85,174.829,159.991,131.958,196.288,131.013,49.049,125.371,185.024,177.192,36.889,133.051
6,167.011,166.275,162.997,165.4,66.251,147.696,165.498,126.434,61.642,176.065,161.595,133.142,196.862,131.338,49.259,125.729,179.211,171.834,37.665,129.593
6,164.119,164.665,160.495,163.068,69.369,153.814,171.965,131.698,61.531,175.427,162.247,133.115,195.948,130.073,48.399,124.707,181.233,173.275,39.308,131.28
6,164.75,164.088,160.515,163.177,68.247,150.114,169.661,129.322,58.143,166.483,153.429,126.099,199.71,133.235,50.383,127.721,183.857,174.655,37.852,132.144
6,162.019,161.636,158.596,160.756,66.676,147.461,165.293,126.46,61.033,174.633,160.563,132.117,198.198,131.847,50.609,126.821,186.897,177.078,38.988,134.336
6,163.172,162.061,159.193,161.54,68.058,150.963,168.132,129.018,63.108,173.93,160.28,132.486,197.411,131.519,48.375,125.678,186.115,177.924,37.494,133.894
6,162.418,163.647,156.532,160.952,70.461,159.218,178.784,136.078,63.093,174.198,160.817,132.765,192.993,127.4,46.883,122.346,186.066,178.571,34.876,133.192
6,160.584,159.467,157.211,159.199,78.576,162.213,180.579,140.391,66.497,175.353,162.238,134.792,193.424,127.497,46.508,122.386,171.421,162.55,31.731,121.887
6,161.713,161.218,158.156,160.433,68.692,154.704,172.931,132.027,61.327,174.995,158.989,131.76,195,129.757,49.199,124.562,182.1,173.372,39.169,131.566
6,163.263,163.226,158.948,161.814,68.12,152.982,170.867,130.605,59.636,169.461,155.938,128.462,202.982,136.384,54.108,131.075,178.1,169.53,38.778,128.784
7,172.67,174.239,162.818,170.062,74.778,152.821,167.567,131.693,66.55,184.101,160.758,137.158,198.506,133.192,48.426,126.647,190.967,185.331,32.892,136.372
7,165.864,167.745,156.294,163.392,78.002,161.12,173.337,137.498,65.467,176.888,159.955,134.071,199.641,134.184,49.192,127.594,183.098,175.59,30.876,129.903
7,165.702,165.678,158.158,163.292,75,156.204,170.412,133.861,66.283,183.298,161.709,137.088,201.334,135.594,48.131,128.305,185.087,177.317,31.339,131.259
7,166.571,167.981,159.49,164.818,73.688,151.276,167.129,130.738,66.576,183.554,161.394,137.193,201.511,136.323,48.728,128.818,182.862,176.126,36.498,131.881
7,159.637,160.246,154.122,158.196,83.646,155.17,170.29,136.378,64.602,175.852,158.818,132.999,208.462,140.183,44.86,131.165,183.335,176.501,36.556,132.191
7,166.659,167.381,159.951,164.754,87.248,157.187,172.104,138.894,66.66,181.935,160.035,136.137,203.937,136.854,44.682,128.553,181.973,173.979,37.436,131.139
7,158.029,158.569,151.55,156.134,78.115,162.488,175.054,138.583,66.769,182.858,161.239,137,205.768,139.467,53.965,132.976,184.864,177.266,38.364,133.51
7,161.471,162.117,154.348,159.421,71.657,155.443,167.69,131.659,64.653,174.453,157.274,132.044,211.421,142.908,46.788,133.723,188.626,182.92,31.221,134.251
7,166.474,166.632,160.842,164.808,71.886,153.552,169.286,131.673,63.863,171.676,155.766,130.434,203.845,137.134,45.925,129.065,185.298,178.947,36.33,133.568
7,166.888,167.534,161.593,165.501,75.371,159.767,171.636,135.624,65.104,182.979,161.907,136.686,204.959,138.729,50.755,131.44,190.336,182.465,38.888,137.223
8,175.036,178.794,159.023,170.967,82.392,161.625,167.844,137.258,69.096,188.62,158.664,138.752,209.862,143.862,45.786,133.25,192.72,185.373,30.26,136.008
8,171.938,175.466,157.429,168.318,86.811,171.714,175.164,144.565,69.118,187.71,157.782,138.129,209.921,143.475,45.697,133.116,192.237,186.002,29.39,135.807
8,173.121,176.478,159.063,169.565,69.99,150.856,157.748,126.142,66.602,181.53,155.362,134.357,208.59,142.437,50.082,133.829,193.98,187.282,25.344,135.489
8,174.426,177.596,158.862,170.305,88.851,172.073,175.067,145.31,65.841,184.762,156.224,135.534,203.799,138.08,44.917,128.896,186.972,181.238,30.408,132.883
8,164.792,166.344,153.177,161.515,89.564,173.7,175.704,146.38,61.75,171.713,147.768,127.048,204.097,138.509,43.284,128.593,183.276,175.793,32.893,130.697
8,167.015,170.464,155.325,164.363,75.053,155.787,160.02,130.163,65.56,183.579,155.051,134.655,198.189,133.239,45.001,125.477,183.159,175.71,32.836,130.612
8,174.478,177.722,156.438,169.529,74.592,156.257,160.78,130.473,66.198,183.63,155.784,135.113,194.893,130.782,43.667,123.112,191.117,184.272,30.32,135.129
8,172.032,175.709,158.08,168.632,77.888,155.925,161.095,131.605,67.491,184.613,160.799,137.627,205.981,140.385,46.58,131.039,193.418,185.706,36.815,138.627
8,173.962,175.93,162.77,170.953,86.406,166.547,171.354,141.367,70.915,188.239,159.775,139.61,205.027,139.466,43.221,129.243,190.69,184.107,28.615,134.414
8,172.651,176.641,158.053,169.224,83.588,167.768,171.352,140.843,68.647,181.497,157.026,135.684,200.107,134.796,47.584,127.469,194.723,188.77,29.002,137.5
