Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
1,168.954,179.803,147.986,165.709,70.664,147.369,151.488,123.096,64.084,192.759,158.911,138.604,215.606,154.847,55.19,141.84,189.293,189.114,25.262,134.538
1,177.538,189.34,159.388,175.34,75.403,159.683,164.276,132.962,61.168,180.133,146.618,129.209,203.732,146.646,57.826,135.992,192.141,190.706,27.775,136.801
1,177.562,189.255,161.47,176.027,75.036,159.4,163.865,132.667,66.003,191.826,159.215,139.077,210.842,151.864,57.386,139.926,183.508,184.215,23.632,130.477
1,171.224,184.279,157.009,170.675,63.808,131.083,136.387,110.474,62.114,180.968,148.718,130.589,211.852,152.528,58.522,140.835,192.919,191.723,29.069,137.791
1,163.807,174.744,142.004,160.378,75.172,162.075,166.761,134.459,68.535,194.086,160.225,140.936,213.763,153.994,58.144,141.868,190.59,190.653,27.331,136.053
1,166.636,176.318,142.322,161.476,69.332,143.203,146.823,119.751,66.744,187.155,153.936,135.993,205.882,147.98,57.309,137.01,191.455,191.153,32.791,138.333
1,180.065,191.208,162.793,177.874,68.852,143.137,146.297,119.259,67.351,181.673,149.219,132.726,213.863,153.98,64.518,144.263,184.042,183.713,30.506,132.583
1,178.143,189.773,158.83,175.663,62.466,126.581,130.889,106.846,64.671,179.577,147.512,130.605,225.089,161.382,55.381,147.315,179.973,178.526,29.048,129.109
1,162.602,171.777,140.239,158.402,66.808,137.247,141.344,115.217,66.671,182.724,150.564,133.252,205.298,147.451,58.077,136.965,185.893,186.068,30.959,134.173
1,165.796,175.823,142.235,161.146,67.423,141.778,145.568,118.273,64.777,182.539,148.798,131.847,204.457,147.04,56.456,135.972,191.452,191.637,24.461,135.739
2,174.505,176.574,163.69,171.663,65.566,142.812,160.463,122.857,62.256,180.754,162.523,135.156,200.744,139.711,64.859,135.197,195.692,189.3,43.212,142.667
2,176.866,178.941,165.244,173.634,79.755,169.695,184.225,144.583,59.417,168.485,151.236,126.302,202.407,140.893,64.127,135.922,192.979,186.923,43.543,141.097
2,172.215,174.673,163.557,170.173,63.634,145.456,163.174,124.202,57.642,174.813,155.948,129.525,197.419,137.232,64.402,133.091,181.957,175.631,39.748,132.447
2,171.956,174.199,162.002,169.452,57.608,128.333,146.757,110.773,60.774,175.935,158.198,131.46,224.547,153.944,59.937,146.214,192.921,186.739,43.732,141.088
2,172.049,174.182,162.644,169.784,61.719,138.027,155.014,118.129,59.759,183.3,164.258,135.648,194.855,134.886,62.764,130.873,191.409,185.263,39.916,138.967
2,164.332,167.044,155.264,162.149,65.869,138.237,155.302,119.549,54.527,168.126,150.635,124.34,201.973,140.179,63.746,135.383,186.388,180.072,41.531,136.026
2,168.422,170.548,155.827,165.081,57.027,127.095,144.493,109.385,61.323,192.297,173.25,142.098,212.277,145.25,59.868,139.05,197.131,189.246,38.73,141.641
2,164.148,166.356,154.383,161.727,74.886,163.301,179.021,139.024,59.894,178.386,156.787,131.717,202.304,140.479,64.053,135.764,175.085,168.711,36.07,126.534
